Project_ID,Project_Name,Category,Contractor,Start_Date,Planned_End_Date,Actual_End_Date,Budget_MYR,Actual_Cost_MYR,Delay_Days
P0277,Project_277,Infrastructure,WCT,2023-10-15,2024-01-22,2024-01-22,139179714,156677044,0
P0278,Project_278,Industrial,Sunway,2024-05-28,2024-12-01,2024-12-01,66677475,80269072,0
P0279,Project_279,Commercial,WCT,2022-02-17,2022-08-02,2022-08-02,53145106,53680258,0
P0280,Project_280,Industrial,SP Setia,2022-05-28,2023-10-07,2023-10-07,48607406,53387631,0
P0281,Project_281,Residential,Gamuda,2023-07-08,2024-09-09,2024-09-09,26052772,32331833,0
P0282,Project_282,Infrastructure,UEM,2023-03-24,2024-02-14,2024-02-14,111489162,113075856,0
P0283,Project_283,Industrial,Gamuda,2023-05-18,2024-04-05,2024-07-15,120923300,140758623,101
P0284,Project_284,Commercial,SP Setia,2024-03-01,2025-03-28,2025-03-28,27021911,27913633,0
P0285,Project_285,Infrastructure,Sunway,2023-02-03,2024-03-23,2024-03-23,29567329,29800721,0
P0286,Project_286,Industrial,Gamuda,2022-04-15,2022-11-26,2022-11-26,120690182,132054248,0
P0287,Project_287,Industrial,UEM,2022-01-27,2022-07-27,2022-07-27,92088602,83277492,0
P0288,Project_288,Commercial,Sunway,2024-03-08,2024-08-31,2024-08-31,144882933,149701189,0
P0289,Project_289,Infrastructure,UEM,2022-11-05,2023-11-04,2023-11-04,21983147,21908110,0
P0290,Project_290,Commercial,UEM,2024-03-12,2024-08-27,2024-08-27,71193516,76428435,0
P0291,Project_291,Infrastructure,UEM,2022-04-20,2022-12-04,2022-12-04,111217757,124237715,0
P0292,Project_292,Commercial,UEM,2022-12-09,2024-05-22,2024-05-22,85647482,105478952,0
P0293,Project_293,Commercial,Sunway,2022-11-18,2023-08-16,2023-08-16,83235017,93349391,0
P0294,Project_294,Commercial,SP Setia,2023-01-21,2024-02-02,2024-02-02,35571529,34501893,0
P0295,Project_295,Residential,UEM,2024-02-26,2025-12-10,2025-12-26,61277062,62256696,16
P0296,Project_296,Industrial,UEM,2023-11-21,2025-07-14,2025-07-14,69967062,66745088,0
P0297,Project_297,Industrial,WCT,2022-03-17,2023-09-17,2024-02-27,112590299,160306272,163
P0298,Project_298,Infrastructure,IJM,2022-02-07,2023-05-11,2023-05-11,34358631,38830770,0
P0299,Project_299,Residential,Gamuda,2023-10-25,2025-10-11,2025-11-01,94012311,102087271,21
P0300,Project_300,Commercial,Sunway,2022-09-22,2023-08-05,2023-08-05,124662769,132400851,0
P0301,Project_301,Commercial,Sunway,2022-01-26,2023-09-02,2023-09-02,116662553,108501911,0
P0302,Project_302,Industrial,SP Setia,2022-11-16,2024-01-31,2024-01-31,144885696,154543325,0
P0303,Project_303,Residential,Sunway,2023-12-15,2025-06-20,2025-06-20,85601526,98336691,0
P0304,Project_304,Industrial,UEM,2023-10-26,2024-05-14,2024-05-14,143511059,137203389,0
P0305,Project_305,Residential,SP Setia,2022-08-26,2024-01-12,2024-01-12,55032858,57853130,0
P0306,Project_306,Infrastructure,SP Setia,2023-09-21,2024-07-09,2024-11-11,109377311,110396515,125
P0307,Project_307,Industrial,Gamuda,2024-04-08,2024-09-09,2024-09-09,149120046,151221851,0
P0308,Project_308,Infrastructure,Sunway,2022-09-26,2024-05-09,2024-05-09,109324557,120853011,0
P0309,Project_309,Commercial,Sunway,2024-05-15,2025-11-24,2025-11-24,84844738,93885702,0
P0310,Project_310,Industrial,UEM,2022-05-01,2023-03-31,2023-03-31,54135639,51400462,0
P0311,Project_311,Commercial,WCT,2023-09-03,2024-04-21,2024-09-25,118558608,144113428,157
P0312,Project_312,Residential,Sunway,2022-06-20,2024-02-01,2024-02-01,55223892,58418612,0
P0313,Project_313,Industrial,UEM,2022-01-10,2023-08-19,2023-08-19,108064229,116374725,0
P0314,Project_314,Commercial,Sunway,2023-12-03,2025-07-18,2025-11-11,136184277,158240675,116
P0315,Project_315,Industrial,WCT,2022-02-03,2023-02-09,2023-02-09,50153252,55067150,0
P0316,Project_316,Infrastructure,WCT,2023-06-08,2023-12-30,2023-12-30,76910880,91381583,0
P0317,Project_317,Commercial,Sunway,2024-04-22,2024-09-01,2024-09-01,119126593,141823157,0
P0318,Project_318,Residential,IJM,2024-06-14,2024-10-15,2024-10-15,98570418,91714259,0
P0319,Project_319,Commercial,Gamuda,2022-08-03,2024-06-25,2024-10-02,49555351,64655703,99
P0320,Project_320,Infrastructure,Sunway,2023-08-07,2024-10-29,2024-10-29,149624581,185930993,0
P0321,Project_321,Residential,Sunway,2023-08-10,2024-08-07,2024-08-07,41396869,48640984,0
P0322,Project_322,Industrial,UEM,2024-06-06,2025-01-11,2025-01-11,44256925,52664352,0
P0323,Project_323,Residential,UEM,2022-05-26,2024-04-06,2024-04-06,116192701,107644484,0
P0324,Project_324,Residential,SP Setia,2023-06-12,2024-06-20,2024-10-02,136008443,131729508,104
P0325,Project_325,Industrial,Sunway,2023-04-15,2024-07-14,2024-08-09,63473276,78589557,26
P0326,Project_326,Residential,Gamuda,2022-11-27,2023-12-12,2023-12-12,135281901,164090740,0
P0327,Project_327,Industrial,IJM,2022-04-12,2023-10-24,2023-10-24,47408377,42678754,0
P0328,Project_328,Residential,SP Setia,2023-12-07,2024-07-19,2024-07-19,47675186,57534808,0
P0329,Project_329,Commercial,UEM,2023-01-05,2023-12-17,2023-12-17,49432801,55313400,0
P0330,Project_330,Commercial,WCT,2023-11-03,2024-05-04,2024-05-04,62289810,58953874,0
P0331,Project_331,Industrial,SP Setia,2023-11-28,2025-05-26,2025-05-26,97227483,121131269,0
P0332,Project_332,Residential,Sunway,2022-05-16,2023-12-16,2023-12-16,107829551,127463683,0
P0333,Project_333,Residential,WCT,2023-01-12,2024-02-12,2024-03-28,40741168,48725749,45
P0334,Project_334,Commercial,UEM,2023-07-31,2023-11-06,2023-11-06,123138288,120006808,0
P0335,Project_335,Industrial,Sunway,2023-09-23,2025-03-19,2025-03-19,31968399,30149557,0
P0336,Project_336,Infrastructure,SP Setia,2023-03-16,2024-05-01,2024-05-01,79347938,78305183,0
P0337,Project_337,Commercial,UEM,2022-01-28,2023-03-02,2023-03-02,110159862,101247840,0
P0338,Project_338,Infrastructure,Sunway,2023-01-31,2023-08-24,2023-11-03,24062139,32007040,71
P0339,Project_339,Industrial,Gamuda,2022-05-16,2023-09-14,2024-02-16,103089661,114705598,155
P0340,Project_340,Industrial,WCT,2022-01-18,2023-12-10,2023-12-10,75379824,92182194,0
P0341,Project_341,Commercial,Sunway,2022-10-21,2024-06-15,2024-10-09,112985521,128421251,116
P0342,Project_342,Residential,Sunway,2022-03-27,2023-05-08,2023-05-08,46708731,48425558,0
P0343,Project_343,Industrial,WCT,2023-12-17,2025-06-06,2025-06-06,70627035,74304532,0
P0344,Project_344,Residential,IJM,2023-09-16,2024-02-09,2024-02-09,37062738,35136369,0
P0345,Project_345,Infrastructure,SP Setia,2023-05-24,2024-08-11,2024-08-11,49818776,57910428,0
P0346,Project_346,Residential,UEM,2022-05-01,2022-08-29,2022-12-02,78009235,84677622,95
P0347,Project_347,Commercial,Sunway,2023-04-12,2024-12-15,2024-12-15,139113039,133327117,0
P0348,Project_348,Residential,IJM,2024-03-02,2024-09-13,2024-09-13,66311844,59740272,0
P0349,Project_349,Residential,WCT,2022-02-17,2023-09-13,2023-12-25,45288046,58974766,103
P0350,Project_350,Infrastructure,Gamuda,2024-04-02,2025-09-03,2025-09-03,71642640,82539540,0
P0351,Project_351,Residential,UEM,2023-08-09,2024-11-22,2024-11-22,53142383,57421457,0
P0352,Project_352,Infrastructure,IJM,2022-03-12,2023-09-29,2023-09-29,92859173,98417830,0
P0353,Project_353,Commercial,SP Setia,2022-10-26,2024-08-23,2024-08-23,129534372,160642078,0
P0354,Project_354,Residential,Sunway,2023-07-14,2024-06-19,2024-06-19,115068230,125371533,0
P0355,Project_355,Industrial,Gamuda,2022-01-02,2023-04-22,2023-04-22,60081444,59081608,0
P0356,Project_356,Infrastructure,UEM,2022-05-26,2023-06-06,2023-06-06,67135444,72634892,0
P0357,Project_357,Residential,WCT,2024-02-05,2024-07-30,2024-07-30,140674732,166979079,0
P0358,Project_358,Industrial,SP Setia,2023-08-05,2024-01-05,2024-01-05,68557928,82120043,0
P0359,Project_359,Commercial,WCT,2024-05-01,2025-06-29,2025-09-28,78002599,101149278,91
P0360,Project_360,Infrastructure,IJM,2022-04-22,2022-12-27,2022-12-27,125679654,130993313,0
P0361,Project_361,Infrastructure,SP Setia,2023-04-08,2024-05-17,2024-05-17,37189051,43981962,0
P0362,Project_362,Infrastructure,UEM,2023-12-15,2025-11-21,2025-11-21,92991441,106838339,0
P0363,Project_363,Industrial,WCT,2023-06-10,2023-10-28,2023-10-28,51672265,53818590,0
P0364,Project_364,Residential,Gamuda,2024-02-06,2025-11-20,2025-11-20,129028790,151974419,0
P0365,Project_365,Residential,WCT,2022-03-05,2023-01-16,2023-01-16,112530361,126101988,0
P0366,Project_366,Commercial,Gamuda,2023-08-24,2024-08-13,2024-08-13,22306580,25119337,0
P0367,Project_367,Industrial,SP Setia,2024-05-17,2025-07-20,2025-07-20,128747382,157515482,0
P0368,Project_368,Commercial,Sunway,2023-02-09,2024-09-29,2024-10-16,119531751,117573427,17
P0369,Project_369,Industrial,Gamuda,2022-10-14,2024-04-12,2024-04-12,70977348,76273114,0
P0370,Project_370,Commercial,SP Setia,2022-03-31,2023-04-11,2023-04-11,117537491,142176684,0
P0371,Project_371,Infrastructure,WCT,2024-04-01,2026-01-07,2026-01-21,101398423,120542337,14
P0372,Project_372,Residential,Sunway,2023-05-30,2024-07-22,2024-07-22,53268956,59074778,0
P0373,Project_373,Commercial,Sunway,2022-03-01,2023-09-25,2023-09-25,67481607,63098475,0
P0374,Project_374,Commercial,IJM,2023-07-01,2023-11-25,2024-01-30,100242142,137835919,66
P0375,Project_375,Commercial,WCT,2022-08-31,2024-07-27,2024-07-27,12571642,12861905,0
P0376,Project_376,Commercial,WCT,2022-07-12,2024-02-26,2024-02-26,52125660,48559747,0
P0377,Project_377,Commercial,Sunway,2022-08-13,2022-12-01,2023-04-24,5183474,6385490,144
P0378,Project_378,Commercial,Gamuda,2024-01-05,2024-10-02,2024-10-02,10882199,12478005,0
P0379,Project_379,Residential,Sunway,2024-05-16,2026-02-03,2026-02-03,105285011,119156189,0
P0380,Project_380,Infrastructure,IJM,2022-11-06,2023-12-31,2023-12-31,122270963,151155244,0
P0381,Project_381,Industrial,Sunway,2023-12-26,2025-10-21,2025-10-21,64924782,76939696,0
P0382,Project_382,Industrial,WCT,2024-01-22,2025-02-16,2025-02-16,5482621,6754832,0
P0383,Project_383,Industrial,IJM,2022-02-03,2022-11-06,2022-11-06,64296117,60209364,0
P0384,Project_384,Residential,SP Setia,2022-12-06,2023-05-24,2023-05-24,90770142,109819353,0
P0385,Project_385,Infrastructure,Sunway,2023-11-18,2025-01-24,2025-01-24,76192422,87058347,0
P0386,Project_386,Commercial,UEM,2024-03-16,2024-10-02,2024-10-02,108599200,113690181,0
P0387,Project_387,Commercial,IJM,2023-05-20,2024-09-08,2024-12-16,32227020,43188797,99
P0388,Project_388,Residential,Sunway,2023-04-08,2023-09-20,2023-09-20,10389647,12811284,0
P0389,Project_389,Industrial,SP Setia,2022-06-24,2023-10-11,2023-10-11,29992598,37336184,0
P0390,Project_390,Commercial,IJM,2022-02-01,2023-07-17,2023-07-17,121554779,113707230,0
P0391,Project_391,Industrial,WCT,2023-02-24,2024-12-12,2024-12-12,80570774,75218503,0
P0392,Project_392,Industrial,IJM,2023-07-17,2025-02-28,2025-02-28,101859277,94797365,0
P0393,Project_393,Residential,Sunway,2022-04-10,2022-08-04,2022-08-04,83332542,88811633,0
P0394,Project_394,Commercial,Sunway,2024-03-14,2025-07-24,2025-12-01,76136577,87327100,130
P0395,Project_395,Commercial,Sunway,2023-01-26,2024-05-08,2024-07-04,16976764,18695087,57
P0396,Project_396,Industrial,WCT,2023-08-01,2024-01-01,2024-01-01,28006881,33128304,0
P0397,Project_397,Industrial,WCT,2022-08-21,2024-06-07,2024-07-02,145279611,161328412,25
P0398,Project_398,Commercial,Gamuda,2022-08-30,2024-03-29,2024-03-29,110979489,127627188,0
P0399,Project_399,Industrial,Gamuda,2024-02-15,2025-08-17,2025-08-17,61878831,58423832,0
P0400,Project_400,Residential,Gamuda,2023-12-01,2025-05-19,2025-05-19,74225843,85692700,0
P0401,Project_401,Residential,SP Setia,2023-02-02,2024-11-22,2024-11-22,79142093,96633023,0
P0402,Project_402,Residential,Gamuda,2023-10-01,2025-08-22,2026-01-12,35204046,37543009,143
P0403,Project_403,Industrial,Gamuda,2023-07-31,2024-02-09,2024-02-09,115297454,130191081,0
P0404,Project_404,Infrastructure,SP Setia,2022-06-26,2023-07-03,2023-07-03,112835865,136683835,0
P0405,Project_405,Infrastructure,Sunway,2022-09-01,2023-01-19,2023-01-19,104976288,124510808,0
P0406,Project_406,Infrastructure,Sunway,2022-10-15,2024-05-30,2024-05-30,41073838,47658108,0
P0407,Project_407,Industrial,SP Setia,2024-01-17,2025-06-16,2025-06-16,55448603,67630743,0
P0408,Project_408,Industrial,IJM,2023-05-12,2025-01-19,2025-01-19,143316656,132276391,0
P0409,Project_409,Residential,IJM,2024-03-10,2025-11-26,2025-11-26,51637267,61527119,0
P0410,Project_410,Industrial,SP Setia,2022-02-03,2023-08-14,2023-08-14,58448122,69449648,0
P0411,Project_411,Industrial,WCT,2022-05-07,2022-09-05,2022-09-05,136207690,131052813,0
P0412,Project_412,Infrastructure,Gamuda,2023-07-19,2024-10-09,2024-10-09,74433494,84935887,0
P0413,Project_413,Infrastructure,SP Setia,2023-01-31,2023-06-20,2023-06-20,64418477,73256262,0
P0414,Project_414,Residential,IJM,2023-02-24,2024-10-31,2024-10-31,132264498,149006543,0
P0415,Project_415,Industrial,Sunway,2022-09-16,2024-08-28,2024-08-28,118764770,142286745,0
P0416,Project_416,Infrastructure,WCT,2022-08-12,2024-03-01,2024-05-27,32464196,41576391,87
P0417,Project_417,Infrastructure,Sunway,2023-10-25,2025-09-22,2025-09-22,85121521,90961576,0
P0418,Project_418,Commercial,Gamuda,2023-10-18,2024-12-13,2024-12-13,85206129,92112320,0
P0419,Project_419,Infrastructure,Sunway,2024-04-04,2026-03-09,2026-03-09,42562040,48069150,0
P0420,Project_420,Industrial,SP Setia,2023-03-05,2024-07-21,2024-07-21,55979963,64359001,0
P0421,Project_421,Infrastructure,SP Setia,2023-01-03,2024-09-03,2024-09-03,53623286,57096643,0
P0422,Project_422,Infrastructure,UEM,2024-04-07,2026-01-29,2026-01-29,28971238,28338644,0
P0423,Project_423,Residential,SP Setia,2024-03-18,2025-05-21,2025-05-21,83933747,79000416,0
P0424,Project_424,Industrial,WCT,2023-08-21,2025-07-05,2025-07-05,131760505,141664557,0
P0425,Project_425,Industrial,IJM,2022-11-02,2024-03-29,2024-03-29,41873704,42708433,0
P0426,Project_426,Residential,Gamuda,2022-11-20,2023-08-21,2023-09-20,94289536,93793473,30
P0427,Project_427,Residential,IJM,2023-04-08,2024-04-12,2024-04-12,47529603,55478891,0
P0428,Project_428,Residential,Gamuda,2023-09-22,2025-03-09,2025-08-28,113285113,138801697,172
P0429,Project_429,Residential,SP Setia,2023-07-01,2024-04-20,2024-04-20,91493429,99349221,0
P0430,Project_430,Infrastructure,IJM,2022-01-05,2022-12-15,2022-12-15,88776628,91816576,0
P0431,Project_431,Infrastructure,UEM,2022-03-08,2022-07-22,2022-07-22,127386786,141237483,0
P0432,Project_432,Industrial,Gamuda,2023-12-05,2024-07-19,2024-10-24,101435674,109410377,97
P0433,Project_433,Infrastructure,SP Setia,2022-08-22,2023-07-07,2023-07-07,10882298,10437698,0
P0434,Project_434,Residential,SP Setia,2023-10-29,2024-03-05,2024-03-05,148541412,164565082,0
P0435,Project_435,Infrastructure,UEM,2022-04-21,2022-08-09,2022-08-09,116877339,110245516,0
P0436,Project_436,Infrastructure,WCT,2023-12-20,2024-08-22,2024-08-22,85830333,80280796,0
P0437,Project_437,Residential,Gamuda,2023-09-13,2024-04-30,2024-04-30,142327494,133959647,0
P0438,Project_438,Infrastructure,SP Setia,2023-05-25,2024-03-13,2024-03-13,75596891,93784890,0
P0439,Project_439,Industrial,Sunway,2023-02-24,2024-03-22,2024-03-22,138239203,157713148,0
P0440,Project_440,Commercial,Gamuda,2022-08-29,2022-11-29,2022-11-29,34643573,39291274,0
P0441,Project_441,Infrastructure,Sunway,2024-03-09,2025-11-12,2025-11-12,73690512,78101842,0
P0442,Project_442,Infrastructure,UEM,2023-04-21,2023-09-09,2023-09-09,15588307,15994774,0
P0443,Project_443,Commercial,Sunway,2024-01-27,2024-08-22,2024-08-22,7596394,8600441,0
P0444,Project_444,Residential,UEM,2023-01-02,2024-06-23,2024-06-23,29951429,30549048,0
P0445,Project_445,Commercial,Gamuda,2023-02-14,2024-08-24,2024-11-11,133377917,166596673,79
P0446,Project_446,Industrial,IJM,2022-05-16,2022-10-13,2022-10-13,116676588,124719828,0
P0447,Project_447,Industrial,UEM,2023-09-18,2025-01-08,2025-01-08,40072522,42911378,0
P0448,Project_448,Commercial,SP Setia,2022-02-17,2022-07-21,2022-07-21,8317918,9459761,0
P0449,Project_449,Infrastructure,SP Setia,2024-06-13,2025-08-23,2025-08-23,121191725,119616468,0
P0450,Project_450,Industrial,UEM,2023-11-24,2025-03-22,2025-03-22,8125894,7759615,0
P0451,Project_451,Residential,WCT,2024-06-09,2025-02-23,2025-03-24,91069485,114862421,29
P0452,Project_452,Industrial,WCT,2022-08-17,2024-05-31,2024-11-21,113253842,130521560,174
P0453,Project_453,Residential,Gamuda,2023-04-04,2023-10-01,2024-02-15,89842120,102269414,137
P0454,Project_454,Infrastructure,WCT,2023-02-18,2024-07-14,2024-07-14,29399587,36370521,0
P0455,Project_455,Commercial,UEM,2023-07-30,2024-05-26,2024-11-19,96497352,100793721,177
P0456,Project_456,Commercial,Gamuda,2022-12-06,2024-09-29,2025-03-16,102521137,116671848,168
P0457,Project_457,Commercial,UEM,2022-12-16,2024-03-13,2024-03-13,145119304,136007666,0
P0458,Project_458,Industrial,IJM,2022-05-24,2023-10-15,2023-10-15,57592269,70583684,0
P0459,Project_459,Residential,UEM,2023-04-14,2024-01-24,2024-01-24,116258537,130399546,0
P0460,Project_460,Industrial,WCT,2023-04-14,2025-03-07,2025-03-07,138903294,160804853,0
P0461,Project_461,Infrastructure,WCT,2023-05-10,2025-01-09,2025-01-09,39462223,44597546,0
P0462,Project_462,Infrastructure,UEM,2023-01-29,2024-06-30,2024-06-30,78442834,80011736,0
P0463,Project_463,Infrastructure,SP Setia,2024-04-04,2024-11-16,2024-12-31,142518041,168278672,45
P0464,Project_464,Infrastructure,SP Setia,2024-01-25,2025-11-11,2025-11-11,58925752,67766652,0
P0465,Project_465,Industrial,SP Setia,2022-05-16,2023-02-12,2023-02-12,35978861,39461545,0
P0466,Project_466,Commercial,Gamuda,2024-02-05,2025-11-02,2026-01-24,8428059,8289233,83
P0467,Project_467,Commercial,Gamuda,2023-11-18,2024-04-13,2024-04-13,48200764,54909665,0
P0468,Project_468,Commercial,SP Setia,2023-12-09,2025-01-04,2025-01-04,101283083,94787596,0
P0469,Project_469,Infrastructure,SP Setia,2023-10-25,2025-08-19,2025-08-19,142149660,167677978,0
P0470,Project_470,Infrastructure,WCT,2023-11-12,2024-03-29,2024-07-14,116821147,169628189,107
P0471,Project_471,Infrastructure,WCT,2022-02-25,2022-06-08,2022-06-08,123934047,151078110,0
P0472,Project_472,Residential,IJM,2023-07-14,2025-06-20,2025-06-20,83967730,104473377,0
P0473,Project_473,Commercial,IJM,2022-06-27,2024-03-04,2024-04-13,15907668,18015647,40
P0474,Project_474,Commercial,Sunway,2023-08-22,2024-08-07,2024-08-07,130179864,124215282,0
P0475,Project_475,Residential,SP Setia,2023-09-04,2024-01-24,2024-01-24,136681265,149331944,0
P0476,Project_476,Industrial,WCT,2022-11-22,2024-08-11,2024-08-11,144749186,155865796,0
P0477,Project_477,Infrastructure,Sunway,2023-07-04,2024-11-18,2024-11-18,64377407,72885980,0
P0478,Project_478,Commercial,SP Setia,2022-10-28,2023-09-06,2024-02-21,7363225,8063174,168
P0479,Project_479,Industrial,Sunway,2023-09-21,2024-08-25,2024-08-25,107373929,132149999,0
P0480,Project_480,Residential,Sunway,2023-07-08,2024-07-21,2024-07-21,143058787,151062198,0
P0481,Project_481,Residential,SP Setia,2023-10-30,2024-08-12,2024-08-12,30758108,37976933,0
P0482,Project_482,Industrial,SP Setia,2022-03-09,2023-01-08,2023-01-08,118872857,115538812,0
P0483,Project_483,Residential,Gamuda,2024-04-16,2024-09-26,2024-09-26,128272335,117146019,0
P0484,Project_484,Industrial,SP Setia,2022-07-02,2023-06-14,2023-06-14,66108158,68929090,0
P0485,Project_485,Residential,SP Setia,2023-02-19,2024-08-05,2024-08-05,109556111,119108530,0
P0486,Project_486,Infrastructure,WCT,2023-08-23,2024-01-06,2024-01-06,139979267,164533333,0
P0487,Project_487,Commercial,WCT,2022-03-30,2023-04-12,2023-08-12,111062407,118433363,122
P0488,Project_488,Infrastructure,Gamuda,2022-08-14,2023-03-31,2023-03-31,43674982,52866047,0
P0489,Project_489,Residential,Sunway,2023-07-21,2025-05-09,2025-05-09,16213392,17977882,0
P0490,Project_490,Infrastructure,IJM,2022-08-04,2023-10-20,2023-12-23,142587317,141639397,64
P0491,Project_491,Residential,Sunway,2022-04-28,2023-01-28,2023-01-28,128819934,119235808,0
P0492,Project_492,Commercial,Gamuda,2022-04-11,2023-01-28,2023-07-05,93812120,119311480,158
P0493,Project_493,Infrastructure,SP Setia,2022-10-19,2023-03-29,2023-03-29,135422381,151093438,0
P0494,Project_494,Infrastructure,IJM,2023-08-22,2024-04-24,2024-04-24,89915035,86230661,0
P0495,Project_495,Infrastructure,UEM,2024-03-15,2025-01-25,2025-07-18,79270676,93680963,174
P0496,Project_496,Residential,Sunway,2023-04-19,2024-10-16,2024-10-16,135720385,130497804,0
P0497,Project_497,Residential,Gamuda,2024-05-29,2025-01-17,2025-01-17,75661513,84689188,0
P0498,Project_498,Residential,WCT,2024-05-19,2026-01-18,2026-01-18,113752454,110847926,0
P0499,Project_499,Infrastructure,IJM,2022-09-24,2024-07-01,2024-11-26,44898363,48955629,148
P0500,Project_500,Commercial,WCT,2023-04-21,2024-12-14,2024-12-14,111511205,100773466,0
P0501,Project_501,Commercial,SP Setia,2023-12-02,2024-08-17,2024-08-17,124781389,137038045,0
P0502,Project_502,Infrastructure,Sunway,2024-01-20,2025-08-27,2025-08-27,63738808,62534939,0
P0503,Project_503,Residential,Gamuda,2022-08-28,2023-01-08,2023-01-08,109177951,115633119,0
P0504,Project_504,Industrial,SP Setia,2023-10-27,2024-12-21,2024-12-21,75683369,83218106,0
P0505,Project_505,Commercial,WCT,2023-01-23,2024-05-01,2024-05-01,143690640,178239033,0
P0506,Project_506,Commercial,UEM,2023-02-20,2024-05-16,2024-08-22,134415441,138985621,98
P0507,Project_507,Residential,SP Setia,2022-06-19,2023-05-10,2023-05-10,61778690,59003286,0
P0508,Project_508,Commercial,SP Setia,2022-08-24,2024-01-20,2024-01-20,134256141,143339563,0
P0509,Project_509,Commercial,SP Setia,2024-05-03,2025-09-25,2025-09-25,16581469,18361020,0
P0510,Project_510,Industrial,WCT,2023-06-09,2023-10-17,2023-10-17,20008765,24467846,0
P0511,Project_511,Industrial,UEM,2023-08-01,2023-11-18,2023-11-18,28017939,31163907,0
P0512,Project_512,Commercial,SP Setia,2022-06-24,2023-05-04,2023-05-04,53824154,58064513,0
P0513,Project_513,Residential,IJM,2023-12-04,2025-02-16,2025-02-16,66690168,63107213,0
P0514,Project_514,Residential,WCT,2023-06-20,2025-02-15,2025-02-15,30849952,37500056,0
P0515,Project_515,Residential,SP Setia,2023-05-31,2023-12-27,2024-01-29,39984881,45702199,33
P0516,Project_516,Industrial,IJM,2023-10-27,2025-04-10,2025-08-31,104422439,144633272,143
P0517,Project_517,Commercial,Gamuda,2024-04-01,2025-11-05,2025-11-05,31230683,30889684,0
P0518,Project_518,Residential,WCT,2022-10-18,2024-09-19,2025-02-15,74203997,91966407,149
P0519,Project_519,Infrastructure,UEM,2023-06-20,2024-01-16,2024-01-16,105671316,120541210,0
P0520,Project_520,Infrastructure,WCT,2023-01-06,2023-07-24,2023-09-11,73084017,81950166,49
P0521,Project_521,Industrial,Sunway,2022-10-10,2024-02-18,2024-04-20,134511452,152122461,62
P0522,Project_522,Commercial,UEM,2022-11-11,2024-09-22,2024-12-29,42062485,54298334,98
P0523,Project_523,Residential,IJM,2024-03-12,2024-11-22,2024-11-22,141457431,144067779,0
P0524,Project_524,Residential,Sunway,2023-02-03,2023-05-09,2023-05-09,131612591,138506735,0
P0525,Project_525,Infrastructure,SP Setia,2022-08-16,2023-11-28,2023-11-28,108166727,112517809,0
P0526,Project_526,Infrastructure,IJM,2023-09-04,2024-01-30,2024-03-24,122835662,149413240,54
P0527,Project_527,Residential,IJM,2022-02-04,2024-01-08,2024-01-08,50495217,51803497,0
P0528,Project_528,Residential,SP Setia,2022-03-30,2023-04-06,2023-04-06,111070423,107750376,0
P0529,Project_529,Commercial,WCT,2023-12-22,2024-05-30,2024-05-30,98441106,116695060,0
P0530,Project_530,Residential,WCT,2022-07-19,2024-01-25,2024-01-25,75090513,80886249,0
P0531,Project_531,Industrial,UEM,2022-10-29,2024-01-10,2024-01-10,149392340,164512765,0
P0532,Project_532,Residential,UEM,2023-07-31,2025-03-07,2025-03-07,128171187,155572051,0
P0533,Project_533,Infrastructure,UEM,2022-04-30,2023-04-19,2023-05-16,64158429,64946042,27
P0534,Project_534,Infrastructure,Gamuda,2022-12-28,2024-09-06,2024-09-06,75692395,70587192,0
P0535,Project_535,Commercial,SP Setia,2023-07-22,2024-04-19,2024-04-19,99902114,109972188,0
P0536,Project_536,Commercial,IJM,2023-12-01,2024-09-10,2024-09-10,68045119,82025660,0
P0537,Project_537,Residential,SP Setia,2022-07-27,2023-07-07,2023-07-07,46874741,44154012,0
P0538,Project_538,Infrastructure,UEM,2023-11-11,2025-06-27,2025-06-27,16344920,16833940,0
P0539,Project_539,Commercial,Gamuda,2023-08-12,2024-08-17,2024-08-17,142206391,139039806,0
P0540,Project_540,Commercial,UEM,2023-06-23,2024-11-27,2024-11-27,139882162,168018066,0
P0541,Project_541,Residential,Sunway,2022-05-04,2024-01-14,2024-01-14,7259853,7069378,0
P0542,Project_542,Infrastructure,Sunway,2023-01-06,2024-12-23,2024-12-23,75558000,80467069,0
P0543,Project_543,Industrial,Sunway,2022-07-08,2024-02-28,2024-02-28,117499404,121060619,0
P0544,Project_544,Commercial,WCT,2023-04-07,2024-01-06,2024-01-06,66355419,76460381,0
P0545,Project_545,Industrial,UEM,2023-03-19,2024-07-11,2024-07-11,45144001,40783532,0
P0546,Project_546,Residential,UEM,2022-05-18,2024-01-27,2024-01-27,135626115,148747732,0
P0547,Project_547,Industrial,SP Setia,2022-04-12,2022-12-25,2022-12-25,73260367,82084708,0
P0548,Project_548,Infrastructure,SP Setia,2022-12-09,2023-11-30,2023-11-30,74179796,77452335,0
P0549,Project_549,Industrial,SP Setia,2023-09-13,2024-07-02,2024-07-02,81399074,92438212,0
P0550,Project_550,Commercial,SP Setia,2023-04-03,2023-09-20,2023-09-20,129487501,123103368,0
P0551,Project_551,Infrastructure,Sunway,2024-04-07,2025-06-16,2025-10-11,24151280,25743091,117
P0552,Project_552,Infrastructure,SP Setia,2023-10-31,2024-11-22,2025-02-08,77812606,101911603,78
P0553,Project_553,Commercial,SP Setia,2023-08-25,2025-05-09,2025-09-11,49914112,48305750,125
